node,x,y
6_77_3,-0.146366646213041,0.21166377419459803
6_80_5,0.7312779272824144,0.6783407902645701
6_23_4,-0.1371084369333889,0.0646874386767789
6_96_5,0.9439810772054756,0.7018714843745658
6_84_1,-0.01675171629791178,0.22084979516446182
6_86_0,-0.06304276269617218,0.22084979516446182
6_93_2,-0.19265769261130145,0.26677990001378027
6_0_2,-0.146366646213041,0.055501417706915246
6_50_1,0.31725080829637314,0.6583397002710738
6_83_4,0.4249153656648363,0.8889405025490313
4_5_2,-0.035268134857215916,0.1565476483754159
6_66_2,-0.10007559981478056,0.2575938790439165
6_64_1,-0.01675171629791178,0.20247775322473438
6_54_5,-0.16488306477234516,0.07387345964664266
6_89_1,0.542959822398803,0.5585109372924142
6_27_5,0.8389424846508777,0.4195031550546176
6_92_4,-0.22043232045025768,0.22084979516446182
6_15_5,-0.22043232045025768,0.055501417706915246
6_12_2,-0.0723009719758243,0.10143152255623375
6_23_2,-0.15562485549269306,0.17491969031514332
6_40_0,-0.11859201837408473,0.18410571128500697
5_5_0,-0.04452634413686804,0.16573366934527953
6_72_1,-0.20191590189095351,0.2759659209836439
6_93_0,-0.18339948333164935,0.26677990001378027
6_53_4,-0.06304276269617218,0.1289895854658248
6_58_2,-0.12785022765373683,0.1289895854658248
6_109_0,-0.06304276269617218,0.2759659209836439
6_109_5,-0.21117411117060558,0.23922183710418912
6_84_4,-0.05378455341652008,0.14736162740555225
6_104_4,0.5670741139814675,0.41032523956657596
6_106_1,0.3570830008548282,0.34755059922431786
4_1_2,-0.18339948333164935,0.046315396737051595
6_24_5,0.7058936007483865,0.9807102095780146
5_4_2,-0.146366646213041,0.09224550158636996
6_65_5,-0.0723009719758243,0.13817560643568846
6_94_2,0.47477854880351794,0.776949138864822
6_94_4,0.5326859318570478,0.729244244268549
6_1_2,-0.035268134857215916,0.0646874386767789
6_56_3,0.20696028611404504,0.9477672378240205
6_31_4,-0.146366646213041,0.11061754352609737
6_111_1,-0.12785022765373683,0.2759659209836439
5_8_1,-0.17414127405199725,0.23003581613432544
6_110_2,-0.10007559981478056,0.2759659209836439
6_99_4,1.0341177066127474,1.0023156650790106
6_80_3,0.7820465803504701,0.6548100961545744
6_75_1,-0.21117411117060558,0.2575938790439165
6_110_3,-0.10933380909443263,0.2759659209836439
6_40_1,-0.12785022765373683,0.18410571128500697
5_9_1,-0.08155918125547637,0.16573366934527953
6_29_4,-0.19265769261130145,0.0646874386767789
6_95_1,0.8056802636752549,0.6242201938115801
6_5_1,0.7610388618395505,0.4265623632876162
6_96_4,1.0446430617369658,0.7018714843745658
5_2_4,-0.06304276269617218,0.055501417706915246
6_46_3,-0.20191590189095351,0.18410571128500697
6_110_4,-0.22969052972990975,0.23922183710418912
6_30_3,-0.10933380909443263,0.11061754352609737
6_6_2,-0.15562485549269306,0.13817560643568846
6_101_3,-0.15562485549269306,0.16573366934527953
6_38_0,-0.12785022765373683,0.24840785807405288
6_13_4,0.852947630324824,0.7418736643615584
6_59_2,-0.20191590189095351,0.19329173225487076
6_35_3,0.6606425686043635,0.7342658121207883
6_12_1,-0.01675171629791178,0.24840785807405288
6_79_1,0.5097235998922593,0.48257529731898624
6_83_5,0.4249153656648363,0.9795336748725147
6_22_5,-0.12785022765373683,0.0646874386767789
6_91_4,-0.20191590189095351,0.22084979516446182
6_95_5,0.8503216655109591,0.5748057361805892
5_13_2,-0.23894873900956184,0.08305948061650631
6_52_3,-0.08155918125547637,0.19329173225487076
6_40_4,-0.0723009719758243,0.11980356449596102
6_4_5,-0.12785022765373683,0.07387345964664266
5_4_4,-0.10007559981478056,0.055501417706915246
6_58_4,-0.146366646213041,0.1289895854658248
5_15_1,-0.12785022765373683,0.1565476483754159
6_1_1,-0.18339948333164935,0.10143152255623375
6_3_2,-0.035268134857215916,0.07387345964664266
6_55_2,-0.146366646213041,0.19329173225487076
6_17_4,-0.23894873900956184,0.055501417706915246
